	id	appliance	turned_ON	turned_OFF	real_power_spike	react_power_spike	app_power_spike	ph_max_spike	real_power_tick	react_power_tick	app_power_tick	ph_max_tick
0	21	Master Bath Fan	2013-02-15 17:55:00	2013-02-15 17:55:30	0.004279294435516605	0.022731044641035206	0.003827717950661502	0.002260814040632252	2013-02-15 17:55:19	2013-02-15 17:55:05	2013-02-15 17:55:19	2013-02-15 17:55:05
1	21	Master Bath Fan	2013-02-15 17:56:30	2013-02-15 17:57:00	0.005666678509359849	0.012775630779375059	0.005426874229622307	0.0011166072705861355	2013-02-15 17:56:46	2013-02-15 17:56:47	2013-02-15 17:56:41	2013-02-15 17:56:47
2	21	Master Bath Fan	2013-02-15 17:58:00	2013-02-15 17:58:30	0.00460102185830149	0.012255085524757315	0.0037531103269666946	0.001180949875246025	2013-02-15 17:58:30	2013-02-15 17:58:24	2013-02-15 17:58:30	2013-02-15 17:58:25
3	21	Master Bath Fan	2013-02-15 17:59:30	2013-02-15 18:00:00	0.005437835584566532	0.017108275520595392	0.004945110872063761	0.0016958891585484497	2013-02-15 17:59:31	2013-02-15 17:59:53	2013-02-15 17:59:46	2013-02-15 17:59:53
4	14	Hair Dryer	2013-02-15 18:06:30	2013-02-15 18:07:00	0.029297386984725553	0.04189373216604311	0.023685599381246432	0.005755717284216473	2013-02-15 18:06:45	2013-02-15 18:06:45	2013-02-15 18:06:45	2013-02-15 18:06:45
5	14	Hair Dryer	2013-02-15 18:09:00	2013-02-15 18:09:30	0.034388272814414915	0.05468478346572753	0.027697423959767962	0.006837799384004105	2013-02-15 18:09:09	2013-02-15 18:09:09	2013-02-15 18:09:09	2013-02-15 18:09:09
6	32	Straightening Iron	2013-02-15 18:11:30	2013-02-15 18:12:00	0.006257825748433926	0.02187961130577372	0.004535819105746015	0.0021505519354424506	2013-02-15 18:12:00	2013-02-15 18:11:41	2013-02-15 18:12:00	2013-02-15 18:11:41
7	32	Straightening Iron	2013-02-15 18:15:00	2013-02-15 18:15:00	0.00180073273656593	0.00204367532462937	0.0018266589740829934	0.00012529746079095136	2013-02-15 18:15:00	2013-02-15 18:15:00	2013-02-15 18:15:00	2013-02-15 18:15:00
8	13	Garbage Disposal	2013-02-15 18:16:00	2013-02-15 18:16:00	1.3306515296747996	5.684147886981876	2.0199278688429483	0.12451976774560473	2013-02-15 18:16:00	2013-02-15 18:16:00	2013-02-15 18:16:00	2013-02-15 18:16:00
9	13	Garbage Disposal	2013-02-15 18:17:00	2013-02-15 18:17:00	0.00994703366586486	1.2754837847655622	0.5133534342890292	0.40591144356443326	2013-02-15 18:17:00	2013-02-15 18:17:00	2013-02-15 18:17:00	2013-02-15 18:17:00
10	13	Garbage Disposal	2013-02-15 18:18:00	2013-02-15 18:18:00	1.0317571259064593	5.317592048724275	2.0604505926900676	0.3524462752009834	2013-02-15 18:18:00	2013-02-15 18:18:00	2013-02-15 18:18:00	2013-02-15 18:18:00
11	13	Garbage Disposal	2013-02-15 18:19:00	2013-02-15 18:19:00	0.613598379614235	3.3299938698895906	1.4373897871130052	0.39096346669395854	2013-02-15 18:19:00	2013-02-15 18:19:00	2013-02-15 18:19:00	2013-02-15 18:19:00
12	25	Microwave	2013-02-15 18:20:00	2013-02-15 18:20:00	0.7727280823815591	4.608575103842141	1.941629382521053	0.38017077693898405	2013-02-15 18:20:00	2013-02-15 18:20:00	2013-02-15 18:20:00	2013-02-15 18:20:00
13	25	Microwave	2013-02-15 18:21:00	2013-02-15 18:21:00	0.771741697653964	6.776786524625856	2.157872830054338	0.34938976003095223	2013-02-15 18:21:00	2013-02-15 18:21:00	2013-02-15 18:21:00	2013-02-15 18:21:00
14	25	Microwave	2013-02-15 18:22:00	2013-02-15 18:22:30	0.7864801663233536	4.895139073259436	2.0086642097047136	0.38046620993244323	2013-02-15 18:22:30	2013-02-15 18:22:30	2013-02-15 18:22:30	2013-02-15 18:22:30
15	25	Microwave	2013-02-15 18:23:30	2013-02-15 18:23:30	0.716849953939411	3.1064632038079854	1.6204005598863702	0.3970437118675973	2013-02-15 18:23:30	2013-02-15 18:23:30	2013-02-15 18:23:30	2013-02-15 18:23:30
16	30	Refrigerator	2013-02-15 18:25:00	2013-02-15 18:25:00	0.06492414234927858	0.0016261495990262868	0.06076257121062505	0.0032206493063248916	2013-02-15 18:25:00	2013-02-15 18:25:00	2013-02-15 18:25:00	2013-02-15 18:25:00
17	30	Refrigerator	2013-02-15 18:27:00	2013-02-15 18:27:00	0.00113534428071799	0.00945090473694213	0.001055042113219493	6.849200552110206e-05	2013-02-15 18:27:00	2013-02-15 18:27:00	2013-02-15 18:27:00	2013-02-15 18:27:00
18	30	Refrigerator	2013-02-15 18:28:00	2013-02-15 18:28:00	0.08060539067519196	0.01884807432356405	0.08023013537169923	0.00022204065783176387	2013-02-15 18:28:00	2013-02-15 18:28:00	2013-02-15 18:28:00	2013-02-15 18:28:00
19	28	Phone Charger	2013-02-15 18:30:00	2013-02-15 18:30:00	0.0015679202204717166	0.01787571383574192	0.0014372310107602865	0.00010241895931219445	2013-02-15 18:30:00	2013-02-15 18:30:00	2013-02-15 18:30:00	2013-02-15 18:30:00
20	28	Phone Charger	2013-02-15 18:32:00	2013-02-15 18:32:00	0.003934431908857794	0.022445659316454068	0.004068559598686313	0.00012113806054318925	2013-02-15 18:32:00	2013-02-15 18:32:00	2013-02-15 18:32:00	2013-02-15 18:32:00
21	28	Phone Charger	2013-02-15 18:33:00	2013-02-15 18:33:00	0.006677378565282493	0.01728386361878119	0.006759927447789786	6.929995742472926e-05	2013-02-15 18:33:00	2013-02-15 18:33:00	2013-02-15 18:33:00	2013-02-15 18:33:00
22	28	Phone Charger	2013-02-15 18:34:00	2013-02-15 18:34:00	0.010777744337766194	0.0288134834177095	0.010920767446250887	0.00012081164544207281	2013-02-15 18:34:00	2013-02-15 18:34:00	2013-02-15 18:34:00	2013-02-15 18:34:00
23	36	Vacuum	2013-02-15 18:35:00	2013-02-15 18:35:00	0.01948635651003652	0.013272586941539065	0.018866240255016008	0.00030975477294626843	2013-02-15 18:35:00	2013-02-15 18:35:00	2013-02-15 18:35:00	2013-02-15 18:35:00
24	36	Vacuum	2013-02-15 18:36:00	2013-02-15 18:36:00	0.03804931001391762	0.030547779184270697	0.03730777877091169	0.0003629852983267537	2013-02-15 18:36:00	2013-02-15 18:36:00	2013-02-15 18:36:00	2013-02-15 18:36:00
25	36	Vacuum	2013-02-15 18:37:00	2013-02-15 18:37:00	0.03737481274783698	0.03283485874619367	0.03693392838817869	5.091315998412015e-05	2013-02-15 18:37:00	2013-02-15 18:37:00	2013-02-15 18:37:00	2013-02-15 18:37:00
26	36	Vacuum	2013-02-15 18:38:00	2013-02-15 18:38:00	0.024559367862210513	0.02124014750546063	0.024224514219646262	7.966218948663569e-05	2013-02-15 18:38:00	2013-02-15 18:38:00	2013-02-15 18:38:00	2013-02-15 18:38:00
27	8	Dining Room Lights	2013-02-15 18:38:30	2013-02-15 18:39:00	0.22423176716165585	0.1986308703764448	0.22170319568002383	0.0006370019804509715	2013-02-15 18:39:00	2013-02-15 18:39:00	2013-02-15 18:39:00	2013-02-15 18:38:43
28	8	Dining Room Lights	2013-02-15 18:40:00	2013-02-15 18:40:00	0.1136469746616355	0.1221697627478483	0.1146016489536311	0.0016499744764847382	2013-02-15 18:40:00	2013-02-15 18:40:00	2013-02-15 18:40:00	2013-02-15 18:40:00
